Data,Hora,Preço
2025-03-22,13:07:30,$0.1677
2025-03-22,13:08:00,$0.1677
2025-03-22,13:08:31,$0.1677
2025-03-22,13:09:01,$0.1677
2025-03-22,13:09:31,$0.1677
2025-03-22,13:10:01,$0.1677
2025-03-22,13:10:31,$0.1677
2025-03-22,13:11:01,$0.1677
2025-03-22,13:11:31,$0.1677
2025-03-22,13:12:01,$0.1677
2025-03-22,13:12:32,$0.1677
2025-03-22,13:13:02,$0.1677
2025-03-22,13:13:32,$0.1677
2025-03-22,13:14:02,$0.1679
2025-03-22,13:14:32,$0.1679
2025-03-22,13:15:02,$0.1679
2025-03-22,13:15:32,$0.1679
2025-03-22,13:16:02,$0.1679
2025-03-22,13:16:33,$0.1679
2025-03-22,13:17:03,$0.1679
2025-03-22,13:17:33,$0.1679
2025-03-22,13:18:03,$0.1680
2025-03-22,13:18:33,$0.1680
2025-03-22,13:19:03,$0.1680
2025-03-22,13:19:34,$0.1680
2025-03-22,13:20:04,$0.1680
2025-03-22,13:20:34,$0.1680
2025-03-22,13:21:04,$0.1681
2025-03-22,13:21:34,$0.1681
2025-03-22,13:22:04,$0.1681
2025-03-22,13:22:34,$0.1681
2025-03-22,13:23:04,$0.1681
2025-03-22,13:23:34,$0.1681
2025-03-22,13:24:05,$0.1681
2025-03-22,13:24:35,$0.1681
2025-03-22,13:25:05,$0.1681
2025-03-22,13:25:35,$0.1681
2025-03-22,13:26:05,$0.1681
2025-03-22,13:26:35,$0.1683
2025-03-22,13:27:05,$0.1683
2025-03-22,13:27:35,$0.1683
2025-03-22,13:28:06,$0.1683
2025-03-22,13:28:36,$0.1683
2025-03-22,13:29:06,$0.1683
2025-03-22,13:29:36,$0.1683
2025-03-22,13:30:06,$0.1683
2025-03-22,13:30:36,$0.1683
2025-03-22,13:31:06,$0.1683
2025-03-22,13:31:36,$0.1683
2025-03-22,13:32:07,$0.1683
2025-03-22,13:32:37,$0.1683
2025-03-22,13:33:07,$0.1683
2025-03-22,13:33:37,$0.1683
2025-03-22,13:34:07,$0.1683
2025-03-22,13:34:38,$0.1683
2025-03-22,13:35:08,$0.1683
2025-03-22,13:35:38,$0.1683
2025-03-22,13:36:08,$0.1682
2025-03-22,13:36:38,$0.1682
2025-03-22,13:37:08,$0.1682
2025-03-22,13:37:38,$0.1682
2025-03-22,13:38:09,$0.1681
2025-03-22,13:38:39,$0.1681
2025-03-22,13:39:09,$0.1681
2025-03-22,13:39:39,$0.1681
2025-03-22,13:40:09,$0.1681
2025-03-22,13:40:39,$0.1681
2025-03-22,13:41:09,$0.1681
2025-03-22,13:41:39,$0.1681
2025-03-22,13:42:10,$0.1681
2025-03-22,13:42:40,$0.1681
2025-03-22,13:43:10,$0.1681
2025-03-22,13:43:40,$0.1681
2025-03-22,13:44:10,$0.1681
2025-03-22,13:44:40,$0.1680
2025-03-22,13:45:10,$0.1680
2025-03-22,13:45:41,$0.1681
2025-03-22,13:46:11,$0.1681
2025-03-22,13:46:41,$0.1681
2025-03-22,13:47:11,$0.1681
2025-03-22,13:47:41,$0.1681
2025-03-22,13:48:11,$0.1681
2025-03-22,13:48:41,$0.1681
2025-03-22,13:49:11,$0.1681
2025-03-22,13:49:42,$0.1680
2025-03-22,13:50:12,$0.1680
2025-03-22,13:50:42,$0.1680
2025-03-22,13:51:12,$0.1680
2025-03-22,13:51:42,$0.1680
2025-03-22,13:52:12,$0.1680
2025-03-22,13:52:42,$0.1680
2025-03-22,13:53:13,$0.1680
2025-03-22,13:53:43,$0.1680
2025-03-22,13:54:13,$0.1680
2025-03-22,13:54:43,$0.1680
2025-03-22,13:55:13,$0.1680
2025-03-22,13:55:43,$0.1680
2025-03-22,13:56:13,$0.1680
2025-03-22,13:56:44,$0.1681
2025-03-22,13:57:14,$0.1681
2025-03-22,13:57:44,$0.1681
